Player,PPG
Kevin Durant,29.7
Trae Young,27.3
Giannis Antetokounmpo,27.0
Stephen Curry,27.0
DeMar DeRozan,26.8
Nikola Jokic,26.3
Jayson Tatum,26.2
Zach LaVine,26.0
LeBron James,25.9
Luka Doncic,25.6
Donovan Mitchell,25.2
Paul George,25.0
Karl-Anthony Towns,24.4
Joel Embiid,24.3
Ja Morant,24.1
Brandon Ingram,23.3
Anthony Davis,23.3
Bradley Beal,23.3
Damian Lillard,23.2
Devin Booker,22.9
Jimmy Butler,22.8
Anthony Edwards,22.1
Shai Gilgeous-Alexander,21.6
De'Aaron Fox,21.3
Jaylen Brown,21.3
James Harden,20.8
CJ McCollum,20.6
Tyler Herro,20.3
Jerami Grant,20.1
Fred VanVleet,20.1
LaMelo Ball,19.9
Cole Anthony,19.9
Miles Bridges,19.8
Malcolm Brogdon,19.7
Dillon Brooks,19.7
Julius Randle,19.6
Russell Westbrook,19.5
Kristaps Porzingis,19.4
OG Anunoby,19.3
Pascal Siakam,19.1
Darius Garland,19.1
Jonas Valanciunas,18.9
D'Angelo Russell,18.9
Bam Adebayo,18.7
Andrew Wiggins,18.7
Tobias Harris,18.5
Domantas Sabonis,18.3
Norman Powell,18.1
Dejounte Murray,17.9
Jordan Poole,17.9
